Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772637900	2	0	0	0	0	512269	515240	0	518368	6588	0	0	0	6333	16	6782	11	0	1	1	1
1772637902	3	0	0	0	0	512269	515240	0	518368	6588	0	0	0	7653	25	7275	17	0	2	1	1
1772637904	5	0	0	0	0	512269	515240	0	518368	6588	0	0	0	9433	36	15881	40	0	4	1	1
1772637906	7	0	0	0	0	512269	515240	0	518368	6588	0	0	0	12970	58	18349	55	0	6	1	1
1772637908	9	0	0	0	0	512269	515240	0	518368	6588	0	0	0	13498	63	18631	58	0	8	1	1
1772637910	11	0	0	0	0	512269	515240	0	518368	6588	0	0	0	13907	66	19286	62	0	10	1	1
1772637912	13	0	0	0	0	512269	515240	0	518368	6588	0	0	0	14770	77	24428	74	0	12	1	1
1772637914	15	0	0	0	0	512269	515240	0	518368	6588	0	0	0	15081	80	24825	77	0	14	1	1
1772637916	17	0	0	0	0	512269	515240	0	518368	6588	0	0	0	17218	94	27633	93	0	16	1	1
1772637918	19	0	0	0	0	512269	515240	0	518368	6588	0	0	0	24069	116	45729	113	0	18	1	1
1772637920	21	0	0	0	0	512269	515240	0	518368	6588	0	0	0	25148	126	46162	116	0	20	1	1
1772637922	23	0	0	0	0	512269	515240	0	518368	6588	0	0	0	26665	142	46686	120	0	22	1	1
1772637924	25	0	0	0	0	512269	515240	0	518368	6588	0	0	0	27113	146	46823	122	0	24	1	1
1772637926	27	0	0	0	0	512269	515240	0	518368	6588	0	0	0	28031	155	54276	135	0	26	1	1
1772637928	29	0	0	0	0	512269	515240	0	518368	6588	0	0	0	28787	162	54846	140	0	28	1	1
1772637930	31	0	0	0	0	512269	515240	0	518368	6588	0	0	0	28906	164	54846	140	0	30	1	1
1772637932	33	0	0	0	0	512269	515240	0	518368	6588	0	0	0	29329	168	55357	144	0	32	1	1
1772637934	35	0	0	0	0	512269	515240	0	518368	6588	0	0	0	29530	171	55490	146	0	34	1	1
1772637936	37	0	0	0	0	512269	515240	0	518368	6588	0	0	0	30594	183	62943	159	0	36	1	1
1772637938	39	0	0	0	0	512269	515240	0	518368	6588	0	0	0	31190	188	63757	165	0	38	1	1
1772637940	41	0	0	0	0	512269	515240	0	518368	6588	0	0	0	31328	190	63843	166	0	40	1	1
1772637942	43	0	0	0	0	512269	515240	0	518368	6588	0	0	0	33377	203	65289	174	0	42	1	1
1772637944	45	0	0	0	0	512269	515240	0	518368	6588	0	0	0	45469	237	75755	203	0	44	1	1
1772637946	47	0	0	0	0	512269	515240	0	518368	6588	0	0	0	63256	293	115147	273	0	46	1	1
1772637948	49	0	0	0	0	512269	515240	0	518368	6588	0	0	0	64971	309	116832	284	0	48	1	1
1772637950	51	0	0	0	0	512269	515240	0	518368	6588	0	0	0	65090	311	116832	284	0	50	1	1
1772637952	53	0	0	0	0	512269	515240	0	518368	6588	0	0	0	66754	323	134894	303	0	52	1	1
1772637954	55	0	0	0	0	512269	515240	0	518368	6588	0	0	0	67357	327	135465	308	0	54	1	1
1772637956	57	0	0	0	0	512269	515240	0	518368	6588	0	0	0	68218	336	136161	316	0	56	1	1
1772637958	59	0	0	0	0	512269	515240	0	518368	6588	0	0	0	68615	340	136636	320	0	58	1	1
